Step size 1,Step size 2,Accuracy,Sensitivity,Specificity,F_score,Weights
0.01,0.01,74.4855967078,0.711538461538,0.753926701571,0.683487394958,[ 0.35833333  0.37333333  0.26833333]
0.01,0.02,69.5473251029,0.5625,0.760736196319,0.659483411604,[ 0.29833333  0.31333333  0.38833333]
0.01,0.03,69.5473251029,0.5625,0.760736196319,0.659483411604,[ 0.23833333  0.25333333  0.50833333]
0.01,0.04,69.5473251029,0.5625,0.760736196319,0.659483411604,[ 0.17833333  0.19333333  0.62833333]
0.01,0.05,69.5473251029,0.5625,0.760736196319,0.659483411604,[ 0.11833333  0.13333333  0.74833333]
0.01,0.06,69.5473251029,0.5625,0.760736196319,0.659483411604,[ 0.05833333  0.07333333  0.86833333]
0.01,0.07,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.00166667  0.01333333  0.98833333]
0.01,0.08,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.06166667 -0.04666667  1.10833333]
0.01,0.09,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.12166667 -0.10666667  1.22833333]
0.01,0.1,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.18166667 -0.16666667  1.34833333]
0.01,0.11,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.24166667 -0.22666667  1.46833333]
0.01,0.12,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.30166667 -0.28666667  1.58833333]
0.01,0.13,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.36166667 -0.34666667  1.70833333]
0.01,0.14,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.42166667 -0.40666667  1.82833333]
0.01,0.15,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.48166667 -0.46666667  1.94833333]
0.01,0.16,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.54166667 -0.52666667  2.06833333]
0.01,0.17,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.60166667 -0.58666667  2.18833333]
0.01,0.18,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.66166667 -0.64666667  2.30833333]
0.01,0.19,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.72166667 -0.70666667  2.42833333]
0.01,0.2,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.78166667 -0.76666667  2.54833333]
0.01,0.21,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.84166667 -0.82666667  2.66833333]
0.01,0.22,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.90166667 -0.88666667  2.78833333]
0.01,0.23,69.5473251029,0.5625,0.760736196319,0.659483411604,[-0.96166667 -0.94666667  2.90833333]
0.01,0.24,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.02166667 -1.00666667  3.02833333]
0.01,0.25,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.08166667 -1.06666667  3.14833333]
0.01,0.26,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.14166667 -1.12666667  3.26833333]
0.01,0.27,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.20166667 -1.18666667  3.38833333]
0.01,0.28,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.26166667 -1.24666667  3.50833333]
0.01,0.29,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.32166667 -1.30666667  3.62833333]
0.01,0.3,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.38166667 -1.36666667  3.74833333]
0.01,0.31,69.5473251029,0.5625,0.760736196319,0.659483411604,[-1.44166667 -1.42666667  3.86833333]
